province_name,year,month,rainfall_mm,monthly_mean,rainfall_anomaly,rainfall_zscore,water_area_km2,province_area_km2_x,water_area_pct,population_total,province_area_km2_y,population_density_per_km2,cropland_area_km2,cropland_pct
Tien Giang,1992,9,198.51837711717533,225.62559783116296,-27.10722071398763,-0.7232913491593471,0.0,2393.1845244412143,0.0,,,,,
Tien Giang,1992,10,322.92196029168184,271.95374387202685,50.96821641965499,0.6311195843247209,0.0,2393.1845244412143,0.0,,,,,
Tien Giang,1992,11,31.252426062287444,120.37542450664738,-89.12299844435994,-1.7365867951390357,0.0,2393.1845244412143,0.0,,,,,
Tien Giang,1992,12,21.218096092103988,35.96998539711587,-14.751889305011884,-0.5017137918314053,0.0,2393.1845244412143,0.0,,,,,
Tien Giang,1993,1,2.092888402870704,7.549819935114067,-5.456931532243363,-1.0517987744578474,0.0,2393.1845244412143,0.0,,,,,
Tien Giang,1993,2,2.9087634243328093,5.262927050197614,-2.354163625864805,-0.6965258567896802,0.0,2393.1845244412143,0.0,,,,,
Tien Giang,1993,3,9.612709151886609,11.794211201453914,-2.181502049567305,-0.1657768138270604,0.0,2393.1845244412143,0.0,,,,,
Tien Giang,1993,4,16.400938650761628,43.66240195705371,-27.26146330629208,-0.6544946209291657,0.0,2393.1845244412143,0.0,,,,,
Tien Giang,1993,5,65.7206552658316,178.49848027392758,-112.777825008096,-1.7428433607490907,0.0,2393.1845244412143,0.0,,,,,
Tien Giang,1993,6,207.9062696856702,187.59233333113949,20.31393635453071,0.3732520269751353,0.0,2393.1845244412143,0.0,,,,,
Tien Giang,1993,7,275.58997008113164,217.0335916302265,58.5563784509051,1.26148794543826,0.0,2393.1845244412143,0.0,,,,,
Tien Giang,1993,8,180.6206914456681,183.9607651832264,-3.3400737375582708,-0.1014029994866969,0.0,2393.1845244412143,0.0,,,,,
Tien Giang,1993,9,251.02979023430743,225.62559783116296,25.404192403144464,0.6778501120217197,0.0,2393.1845244412143,0.0,,,,,
Tien Giang,1993,10,241.01387003501424,271.95374387202685,-30.939873837012613,-0.3831164142433,0.0,2393.1845244412143,0.0,,,,,
Tien Giang,1993,11,85.38445224759276,120.37542450664738,-34.990972259054615,-0.6818089767489864,0.0,2393.1845244412143,0.0,,,,,
Tien Giang,1993,12,53.52939985151885,35.96998539711587,17.559414454402983,0.5971981097542958,0.0,2393.1845244412143,0.0,,,,,
Tien Giang,1994,1,6.688763089232392,7.549819935114067,-0.8610568458816754,-0.1659647972281899,12.820823647210515,2393.1845244412143,0.5357223196236428,,,,,
Tien Giang,1994,2,2.466661904858481,5.262927050197614,-2.7962651453391336,-0.8273303328493066,0.0,2393.1845244412143,0.0,,,,,
Tien Giang,1994,3,14.812461868948784,11.794211201453914,3.01825066749487,0.2293630570220836,0.0,2393.1845244412143,0.0,,,,,
Tien Giang,1994,4,12.439726622816352,43.66240195705371,-31.22267533423736,-0.7495956041567136,0.0,2393.1845244412143,0.0,,,,,
Tien Giang,1994,5,233.1831652776912,178.49848027392758,54.684685003763605,0.845084928589667,0.0,2393.1845244412143,0.0,,,,,
Tien Giang,1994,6,218.192925183126,187.59233333113949,30.600591851986508,0.5622609392908398,0.0,2393.1845244412143,0.0,,,,,
Tien Giang,1994,7,168.32023210067354,217.0335916302265,-48.713359529553,-1.0494384634776068,0.0,2393.1845244412143,0.0,,,,,
