province_name,year,month,date,rainfall_mm,monthly_mean,rainfall_anomaly,rainfall_zscore
Tra Vinh,2003,5,2003-05-01,338.21088910920207,178.93207669454517,159.2788124146569,2.339263959890705
Vinh Long,2003,5,2003-05-01,270.8883207997112,171.45889864126076,99.42942215845045,1.592638711769022
Bac Lieu,2003,5,2003-05-01,349.5963729400454,214.29033670411226,135.30603623593314,2.2849056520937516
Ca Mau,2003,5,2003-05-01,311.67212137049944,219.39831942387667,92.27380194662277,1.633523381733077
Can Tho city,2003,5,2003-05-01,257.6118059296465,169.17037593798062,88.44142999166587,1.4703906648121416
Hau Giang,2003,5,2003-05-01,302.2743575184711,199.48788878030092,102.78646873817019,1.6637068867173408
An Giang,2003,5,2003-05-01,218.6084221851345,160.90414112279777,57.70428106233672,1.1232013217287338
Ben Tre,2003,5,2003-05-01,304.8779425858169,169.13112181825423,135.7468207675627,2.0388242332647115
Dong Thap,2003,5,2003-05-01,226.27545035231157,161.76074551244724,64.51470483986432,1.1748909709106385
Kien Giang,2003,5,2003-05-01,296.71146699881734,212.22213877114578,84.48932822767156,1.382182095149495
Long An,2003,5,2003-05-01,272.6251978372217,195.1458391578119,77.47935867940981,1.2006445439902884
Tien Giang,2003,5,2003-05-01,283.50806604634965,178.49848027392758,105.00958577242207,1.6227947237441391
Soc Trang,2003,6,2003-06-01,183.152571124494,234.06989298302094,-50.91732185852695,-0.8709841989867708
Tra Vinh,2003,6,2003-06-01,130.0033589703432,205.79212890469398,-75.78876993435077,-1.3637092021857966
Vinh Long,2003,6,2003-06-01,165.10902227047185,202.49160170633658,-37.38257943586473,-0.6791355644569761
Bac Lieu,2003,6,2003-06-01,219.90394735300944,259.12481464462087,-39.22086729161143,-0.59234366750484
Ca Mau,2003,6,2003-06-01,224.65802908578817,276.64667457639223,-51.98864549060406,-0.7072039820325792
Can Tho city,2003,6,2003-06-01,163.9949207790958,196.5063853270772,-32.511464547981404,-0.6281719351022467
Hau Giang,2003,6,2003-06-01,189.1746195607391,231.3476831213636,-42.173063560624485,-0.6923923797961078
An Giang,2003,6,2003-06-01,127.75467166445648,164.48686055884076,-36.73218889438428,-0.9487360262620741
Ben Tre,2003,6,2003-06-01,136.52110093846912,189.30016608088818,-52.77906514241906,-0.9544673476014389
