province_name,year,month,date,water_area_km2,province_area_km2,water_area_pct
Can Tho city,2014,8,2014-08-01,107.82131630415309,1398.2168353387826,7.711344448089727
Hau Giang,2014,8,2014-08-01,36.11849507127268,1678.4219435418108,2.151931771998603
An Giang,2014,8,2014-08-01,720.6434323350293,3540.966155975497,20.351604635331512
Ben Tre,2014,8,2014-08-01,254.1040889518653,2293.238665129326,11.08057756114692
Dong Thap,2014,8,2014-08-01,1037.126444767597,3393.2412305670014,30.564477273968997
Kien Giang,2014,8,2014-08-01,491.9944626147633,6294.25596863703,7.816562673432245
Long An,2014,8,2014-08-01,954.6670604914484,4493.542342739985,21.24531133068906
Tien Giang,2014,8,2014-08-01,124.914404280844,2393.1845244412143,5.219589338185711
Soc Trang,2014,9,2014-09-01,590.231582877911,3348.8468758966987,17.624920002347633
Tra Vinh,2014,9,2014-09-01,268.7915701974944,2254.4401122278623,11.92276382679652
Vinh Long,2014,9,2014-09-01,114.16293096089666,1534.6515536941374,7.439013154881269
Bac Lieu,2014,9,2014-09-01,1065.391501501061,2610.873855724368,40.80593549800115
Ca Mau,2014,9,2014-09-01,1209.1294452401917,5185.881144708419,23.315795551426508
Can Tho city,2014,9,2014-09-01,432.86057950881855,1398.2168353387826,30.95804374318938
Hau Giang,2014,9,2014-09-01,232.89734832187088,1678.4219435418108,13.875971368106056
An Giang,2014,9,2014-09-01,782.0968247136456,3540.966155975497,22.087102509969814
Ben Tre,2014,9,2014-09-01,356.6766291604124,2293.238665129326,15.553402032853732
Dong Thap,2014,9,2014-09-01,1379.2680865589268,3393.2412305670014,40.64751053164749
Kien Giang,2014,9,2014-09-01,937.4617722728866,6294.25596863703,14.893925142924976
Long An,2014,9,2014-09-01,1275.877074991535,4493.542342739985,28.393569653414136
Tien Giang,2014,9,2014-09-01,226.871802492485,2393.1845244412143,9.479912650925126
Soc Trang,2014,10,2014-10-01,599.0628630159158,3348.8468758966987,17.88863107858608
Tra Vinh,2014,10,2014-10-01,286.0170058341947,2254.4401122278623,12.686830946755537
Vinh Long,2014,10,2014-10-01,322.8970656138109,1534.6515536941374,21.04041564591969
Bac Lieu,2014,10,2014-10-01,820.0244451041538,2610.873855724368,31.40804536788485
Ca Mau,2014,10,2014-10-01,1220.5375089542908,5185.881144708419,23.535778682465672
Can Tho city,2014,10,2014-10-01,736.558044835134,1398.2168353387826,52.67838479835416
Hau Giang,2014,10,2014-10-01,429.8773298532568,1678.4219435418108,25.61199414171912
An Giang,2014,10,2014-10-01,799.6046201450138,3540.966155975497,22.581538058353217
Ben Tre,2014,10,2014-10-01,330.0019137773582,2293.238665129326,14.39021235754142
Dong Thap,2014,10,2014-10-01,1641.9959589128107,3393.2412305670014,48.39019236597092
Kien Giang,2014,10,2014-10-01,1791.359259436996,6294.25596863703,28.460222596014003
Long An,2014,10,2014-10-01,1633.1976748213528,4493.542342739985,36.3454386372933
Tien Giang,2014,10,2014-10-01,433.8604557562121,2393.1845244412143,18.12900139229817
Soc Trang,2014,11,2014-11-01,381.33021468384186,3348.8468758966987,11.386911041781676
Tra Vinh,2014,11,2014-11-01,207.3798099853078,2254.4401122278623,9.19872782871898
Vinh Long,2014,11,2014-11-01,306.0012798792038,1534.6515536941374,19.93946307502916
Bac Lieu,2014,11,2014-11-01,402.9994422949593,2610.873855724368,15.435423714990243
Ca Mau,2014,11,2014-11-01,493.8610467225136,5185.881144708419,9.523184834778572
Can Tho city,2014,11,2014-11-01,586.8422167277688,1398.2168353387826,41.97075889059648
Hau Giang,2014,11,2014-11-01,404.17496331514906,1678.4219435418108,24.08065295322926
An Giang,2014,11,2014-11-01,715.1789873471051,3540.966155975497,20.19728390061613
Ben Tre,2014,11,2014-11-01,288.66906802341293,2293.238665129326,12.587833635149948
Dong Thap,2014,11,2014-11-01,960.8164321006942,3393.2412305670014,28.315594642828984
Kien Giang,2014,11,2014-11-01,1462.2220651112175,6294.25596863703,23.23105498723227
Long An,2014,11,2014-11-01,1380.0975840761907,4493.542342739985,30.712909299852324
Tien Giang,2014,11,2014-11-01,345.2958368718969,2393.1845244412143,14.428299754801404
Soc Trang,2014,12,2014-12-01,243.95387159396915,3348.8468758966987,7.284712637947867
Tra Vinh,2014,12,2014-12-01,149.8024855784099,2254.4401122278623,6.644775559390373
Vinh Long,2014,12,2014-12-01,77.36717790276505,1534.6515536941374,5.041351420557364
Bac Lieu,2014,12,2014-12-01,431.8505451336192,2610.873855724368,16.540459976141033
Ca Mau,2014,12,2014-12-01,526.748314833137,5185.881144708419,10.157354172503966
Can Tho city,2014,12,2014-12-01,29.75387983901448,1398.2168353387826,2.127987525754918
Hau Giang,2014,12,2014-12-01,21.84980074873661,1678.4219435418108,1.3018061896062378
An Giang,2014,12,2014-12-01,102.59098593507989,3540.966155975497,2.8972597143283685
Ben Tre,2014,12,2014-12-01,228.4853728697024,2293.238665129326,9.963436267843369
Dong Thap,2014,12,2014-12-01,111.44723398823832,3393.2412305670014,3.284388772136185
Kien Giang,2014,12,2014-12-01,132.25038542107814,6294.25596863703,2.1011281727348607
Long An,2014,12,2014-12-01,336.9436892999064,4493.542342739985,7.498398003176519
Tien Giang,2014,12,2014-12-01,89.73379922622703,2393.1845244412143,3.7495562214192
Soc Trang,2015,1,2015-01-01,212.93418633134843,3348.8468758966987,6.35843304344372
Tra Vinh,2015,1,2015-01-01,152.76392309140988,2254.4401122278623,6.776135780357763
Vinh Long,2015,1,2015-01-01,75.42607887407912,1534.6515536941374,4.914866745647713
Bac Lieu,2015,1,2015-01-01,221.6062463409662,2610.873855724368,8.487818967396384
Ca Mau,2015,1,2015-01-01,168.9215431559854,5185.881144708419,3.257335415956263
Can Tho city,2015,1,2015-01-01,29.534373043646784,1398.2168353387826,2.1122884732317444
Hau Giang,2015,1,2015-01-01,8.398105269697108,1678.4219435418108,0.5003572136321932
An Giang,2015,1,2015-01-01,57.66823658904476,3540.966155975497,1.6286017445190124
Ben Tre,2015,1,2015-01-01,230.0429918342607,2293.238665129326,10.031358503249708
Dong Thap,2015,1,2015-01-01,104.21676785758824,3393.2412305670014,3.0713044188778147
Kien Giang,2015,1,2015-01-01,144.55115318408338,6294.25596863703,2.296556636786806
Long An,2015,1,2015-01-01,49.61460644373229,4493.542342739985,1.1041312768286782
Tien Giang,2015,1,2015-01-01,103.91178239415612,2393.1845244412143,4.341987896583885
Soc Trang,2015,2,2015-02-01,179.14321265028696,3348.8468758966987,5.349399936427937
Tra Vinh,2015,2,2015-02-01,190.4181200547855,2254.4401122278623,8.446359653644214
Vinh Long,2015,2,2015-02-01,79.53790385619052,1534.6515536941374,5.182798900814378
Bac Lieu,2015,2,2015-02-01,330.16361773275827,2610.873855724368,12.645713120489184
Ca Mau,2015,2,2015-02-01,592.047711977245,5185.881144708419,11.416530681220104
Can Tho city,2015,2,2015-02-01,34.84412152434579,1398.2168353387826,2.492039907093752
Hau Giang,2015,2,2015-02-01,9.572209898074377,1678.4219435418108,0.5703101019922959
An Giang,2015,2,2015-02-01,61.86773104052647,3540.966155975497,1.747199163034152
Ben Tre,2015,2,2015-02-01,294.65240151257217,2293.238665129326,12.848745575112456
Dong Thap,2015,2,2015-02-01,149.70286246328885,3393.2412305670014,4.411795457238209
Kien Giang,2015,2,2015-02-01,280.537630000606,6294.25596863703,4.457041966492413
Long An,2015,2,2015-02-01,51.40413664033412,4493.542342739985,1.1439557640618538
Tien Giang,2015,2,2015-02-01,119.8304178135927,2393.1845244412143,5.0071532967802375
Soc Trang,2015,3,2015-03-01,286.17982560286026,3348.8468758966987,8.545622902696373
Tra Vinh,2015,3,2015-03-01,212.13070768504767,2254.4401122278623,9.40946297639363
Vinh Long,2015,3,2015-03-01,77.25793151580586,1534.6515536941374,5.034232776152631
Bac Lieu,2015,3,2015-03-01,565.1141770083474,2610.873855724368,21.64463732207241
Ca Mau,2015,3,2015-03-01,895.4142255710195,5185.881144708419,17.26638541426435
Can Tho city,2015,3,2015-03-01,36.20912171078484,1398.2168353387826,2.5896642634839613
Hau Giang,2015,3,2015-03-01,11.18005856496194,1678.4219435418108,0.66610536212186
An Giang,2015,3,2015-03-01,43.30032532138536,3540.966155975497,1.222839287755254
Ben Tre,2015,3,2015-03-01,312.3227658083881,2293.238665129326,13.619287453919448
Dong Thap,2015,3,2015-03-01,116.56001972249548,3393.2412305670014,3.435064347105632
Kien Giang,2015,3,2015-03-01,512.9027929498526,6294.25596863703,8.148743799196295
Long An,2015,3,2015-03-01,95.34873103969908,4493.542342739985,2.121905698602123
Tien Giang,2015,3,2015-03-01,133.22129600829385,2393.1845244412143,5.566695532572848
Soc Trang,2015,4,2015-04-01,460.20884378952354,3348.8468758966987,13.742307750822333
Tra Vinh,2015,4,2015-04-01,321.42038733865195,2254.4401122278623,14.257215598467187
Vinh Long,2015,4,2015-04-01,90.68944107184352,1534.6515536941374,5.909448360022859
Bac Lieu,2015,4,2015-04-01,957.1930412109366,2610.873855724368,36.66178812554582
Ca Mau,2015,4,2015-04-01,1473.5352129674498,5185.881144708419,28.41436530937503
Can Tho city,2015,4,2015-04-01,45.39317542838638,1398.2168353387826,3.2465047109368976
Hau Giang,2015,4,2015-04-01,33.10310938823182,1678.4219435418108,1.9722757746110935
An Giang,2015,4,2015-04-01,159.66471249278857,3540.966155975497,4.509071972443145
Ben Tre,2015,4,2015-04-01,389.5292083046578,2293.238665129326,16.98598642294785
Dong Thap,2015,4,2015-04-01,189.73805432843696,3393.2412305670014,5.59164649478022
Kien Giang,2015,4,2015-04-01,841.0628968930884,6294.25596863703,13.362387883237195
Long An,2015,4,2015-04-01,134.602297752677,4493.542342739985,2.995460763158222
Tien Giang,2015,4,2015-04-01,141.68754702297858,2393.1845244412143,5.920460607025748
Soc Trang,2015,5,2015-05-01,372.966522777019,3348.8468758966987,11.137162629364838
Tra Vinh,2015,5,2015-05-01,262.1647183709302,2254.4401122278623,11.628817148389723
Vinh Long,2015,5,2015-05-01,63.1564375210322,1534.6515536941374,4.115360087376521
Bac Lieu,2015,5,2015-05-01,714.2421621151494,2610.873855724368,27.356440854052224
