province_name,year,date,population_total,province_area_km2,population_density_per_km2,cropland_area_km2,cropland_pct
Bac Lieu,2018,2018-01-01,848355.2387935773,2610.873855724368,324.93153084878065,,
Bac Lieu,2019,2019-01-01,861704.3578769105,2610.873855724368,330.0444240106104,,
Bac Lieu,2020,2020-01-01,874760.6172995418,2610.873855724368,335.0451479613311,,
Bac Lieu,2021,,,,,1223.2359938122456,46.85159304538165
Ben Tre,2000,2000-01-01,1112659.4736419255,2293.238665129326,485.19131068251806,,
Ben Tre,2001,2001-01-01,1109178.763099962,2293.238665129326,483.6734963377265,,
Ben Tre,2002,2002-01-01,1105697.0968500546,2293.238665129326,482.1552652426168,,
Ben Tre,2003,2003-01-01,1101673.740188436,2293.238665129326,480.4008221823296,,
Ben Tre,2004,2004-01-01,1097927.182110333,2293.238665129326,478.7670811613565,,
Ben Tre,2005,2005-01-01,1094162.958200612,2293.238665129326,477.12563669813545,,
Ben Tre,2006,2006-01-01,1090567.498191704,2293.238665129326,475.5577841830092,,
Ben Tre,2007,2007-01-01,1087031.5483671902,2293.238665129326,474.01588194741504,,
Ben Tre,2008,2008-01-01,1083399.568929351,2293.238665129326,472.43210460532384,,
Ben Tre,2009,2009-01-01,1079732.760711596,2293.238665129326,470.83313966830616,,
Ben Tre,2010,2010-01-01,1076434.7793148565,2293.238665129326,469.3950070191021,,
Ben Tre,2011,2011-01-01,1072760.270266767,2293.238665129326,467.7926840232607,,
Ben Tre,2012,2012-01-01,1069331.405595256,2293.238665129326,466.2974778226808,,
Ben Tre,2013,2013-01-01,1065811.1192253015,2293.238665129326,464.7624058637594,,
Ben Tre,2014,2014-01-01,1062380.0773021951,2293.238665129326,463.2662502410244,,
Ben Tre,2015,2015-01-01,1058455.3777932683,2293.238665129326,461.55482806390654,,
Ben Tre,2016,2016-01-01,1054979.5385581562,2293.238665129326,460.03913792316126,,
Ben Tre,2017,2017-01-01,1051416.7706092778,2293.238665129326,458.4855412552464,,
Ben Tre,2018,2018-01-01,1047953.5924857974,2293.238665129326,456.9753721759696,,
Ben Tre,2019,2019-01-01,1044390.701794284,2293.238665129326,455.4217219843474,,
Ben Tre,2020,2020-01-01,1040841.0372593713,2293.238665129326,453.8738392502525,,
Ben Tre,2021,,,,,213.47478009995083,9.30887758635938
Ca Mau,2000,2000-01-01,964293.8987630818,5185.881144708419,185.9460083744939,,
Ca Mau,2001,2001-01-01,971840.4573688428,5185.881144708419,187.4012207858816,,
Ca Mau,2002,2002-01-01,980174.9853952292,5185.881144708419,189.0083783341973,,
Ca Mau,2003,2003-01-01,987591.89060853,5185.881144708419,190.43858951843723,,
Ca Mau,2004,2004-01-01,995616.1697785528,5185.881144708419,191.9859213885883,,
Ca Mau,2005,2005-01-01,1002874.3464500476,5185.881144708419,193.3855247479713,,
Ca Mau,2006,2006-01-01,1010772.2243656546,5185.881144708419,194.9084825048543,,
Ca Mau,2007,2007-01-01,1018582.35891889,5185.881144708419,196.41452059853572,,
Ca Mau,2008,2008-01-01,1026403.8634613464,5185.881144708419,197.92275118157517,,
Ca Mau,2009,2009-01-01,1034374.9436750622,5185.881144708419,199.45982462990304,,
Ca Mau,2010,2010-01-01,1042723.9922344896,5185.881144708419,201.069782190914,,
Ca Mau,2011,2011-01-01,1050521.1186316242,5185.881144708419,202.5733119054526,,
Ca Mau,2012,2012-01-01,1058966.701334123,5185.881144708419,204.2018842669917,,
Ca Mau,2013,2013-01-01,1067038.5072776305,5185.881144708419,205.75838078480015,,
Ca Mau,2014,2014-01-01,1075062.0566911628,5185.881144708419,207.30557193508704,,
Ca Mau,2015,2015-01-01,1083836.2454177912,5185.881144708419,208.99750981059765,,
Ca Mau,2016,2016-01-01,1092066.9757497683,5185.881144708419,210.58465191862217,,
Ca Mau,2017,2017-01-01,1100491.0847498972,5185.881144708419,212.20908347905717,,
Ca Mau,2018,2018-01-01,1108762.4020754471,5185.881144708419,213.80405202822837,,
Ca Mau,2019,2019-01-01,1117135.747172405,5185.881144708419,215.41869472120672,,
Ca Mau,2020,2020-01-01,1125537.3792819264,5185.881144708419,217.0387920344848,,
Ca Mau,2021,,,,,1080.9871728755747,20.84481195598929
Can Tho city,2000,2000-01-01,808498.6056881193,1398.2168353387826,578.2354962792471,,
Can Tho city,2001,2001-01-01,824636.9488616036,1398.2168353387826,589.7775852926254,,
Can Tho city,2002,2002-01-01,842384.5029007879,1398.2168353387826,602.4705765301999,,
Can Tho city,2003,2003-01-01,861458.4118362304,1398.2168353387826,616.1121723495071,,
Can Tho city,2004,2004-01-01,878608.4972212808,1398.2168353387826,628.3778560057156,,
Can Tho city,2005,2005-01-01,896294.9638297834,1398.2168353387826,641.0271577173611,,
Can Tho city,2006,2006-01-01,915299.7514776554,1398.2168353387826,654.6193182231865,,
Can Tho city,2007,2007-01-01,933572.8876498368,1398.2168353387826,667.6882040428554,,
Can Tho city,2008,2008-01-01,953598.6077196968,1398.2168353387826,682.01053199924,,
Can Tho city,2009,2009-01-01,972205.1327878458,1398.2168353387826,695.3178564412609,,
Can Tho city,2010,2010-01-01,992617.915820624,1398.2168353387826,709.9170105330026,,
Can Tho city,2011,2011-01-01,1013675.4722497098,1398.2168353387826,724.9773043993566,,
Can Tho city,2012,2012-01-01,1034338.8509992888,1398.2168353387826,739.7556837088665,,
Can Tho city,2013,2013-01-01,1057804.4734429289,1398.2168353387826,756.5382183276507,,
Can Tho city,2014,2014-01-01,1079538.4193252346,1398.2168353387826,772.0822636666841,,
Can Tho city,2015,2015-01-01,1102725.7215069523,1398.2168353387826,788.6657445658393,,
Can Tho city,2016,2016-01-01,1126506.4981185745,1398.2168353387826,805.6736763905622,,
Can Tho city,2017,2017-01-01,1150164.4772092514,1398.2168353387826,822.5937838393792,,
Can Tho city,2018,2018-01-01,1174972.829077308,1398.2168353387826,840.3366340476201,,
Can Tho city,2019,2019-01-01,1199978.975436743,1398.2168353387826,858.2209462139633,,
Can Tho city,2020,2020-01-01,1224926.2070923848,1398.2168353387826,876.0631227813745,,
Can Tho city,2021,,,,,869.7545324277293,62.204553002466966
Dong Thap,2000,2000-01-01,1356139.3926910565,3393.2412305670014,399.6589987398123,,
Dong Thap,2001,2001-01-01,1364426.9768349384,3393.2412305670014,402.1013786299379,,
Dong Thap,2002,2002-01-01,1372862.964449201,3393.2412305670014,404.587493539267,,
Dong Thap,2003,2003-01-01,1381341.1638100822,3393.2412305670014,407.0860483972323,,
Dong Thap,2004,2004-01-01,1389767.2714992336,3393.2412305670014,409.5692516582463,,
Dong Thap,2005,2005-01-01,1398613.7352974983,3393.2412305670014,412.1763353275634,,
Dong Thap,2006,2006-01-01,1406687.0379290197,3393.2412305670014,414.5555657102416,,
Dong Thap,2007,2007-01-01,1415826.1728918874,3393.2412305670014,417.2489005903381,,
Dong Thap,2008,2008-01-01,1424612.000509146,3393.2412305670014,419.8381145660832,,
Dong Thap,2009,2009-01-01,1433550.517727895,3393.2412305670014,422.4723266987866,,
Dong Thap,2010,2010-01-01,1442076.866486966,3393.2412305670014,424.9850713519708,,
Dong Thap,2011,2011-01-01,1450731.7317931275,3393.2412305670014,427.53569027885305,,
Dong Thap,2012,2012-01-01,1459827.7388249277,3393.2412305670014,430.2163152075676,,
Dong Thap,2013,2013-01-01,1468689.4628392393,3393.2412305670014,432.8278961156632,,
Dong Thap,2014,2014-01-01,1478347.4090746487,3393.2412305670014,435.6741264833744,,
Dong Thap,2015,2015-01-01,1487592.0649276592,3393.2412305670014,438.3985587370358,,
Dong Thap,2016,2016-01-01,1496749.863627545,3393.2412305670014,441.09739388538617,,
Dong Thap,2017,2017-01-01,1506009.4341972978,3393.2412305670014,443.82622155797856,,
Dong Thap,2018,2018-01-01,1515573.8318352965,3393.2412305670014,446.6448828284596,,
Dong Thap,2019,2019-01-01,1524782.6232101908,3393.2412305670014,449.3587456956026,,
Dong Thap,2020,2020-01-01,1534369.0044094874,3393.2412305670014,452.1838855981066,,
Dong Thap,2021,,,,,2180.7072409424472,64.26620133276104
Hau Giang,2000,2000-01-01,757985.1673621014,1678.4219435418108,451.6058493388134,,
Hau Giang,2001,2001-01-01,751748.8845267909,1678.4219435418108,447.8902861222419,,
Hau Giang,2002,2002-01-01,743813.1230632099,1678.4219435418108,443.1621773805062,,
Hau Giang,2003,2003-01-01,736056.5455464219,1678.4219435418108,438.54082602923626,,
Hau Giang,2004,2004-01-01,730096.7194201909,1678.4219435418108,434.9899750950221,,
Hau Giang,2005,2005-01-01,725028.2669549686,1678.4219435418108,431.9702025731455,,
Hau Giang,2006,2006-01-01,718450.0634725499,1678.4219435418108,428.050923807916,,
Hau Giang,2007,2007-01-01,713034.5336100385,1678.4219435418108,424.8243633572801,,
Hau Giang,2008,2008-01-01,706722.4648946144,1678.4219435418108,421.0636470846458,,
Hau Giang,2009,2009-01-01,701179.8871104642,1678.4219435418108,417.761391769481,,
Hau Giang,2010,2010-01-01,695648.8602666231,1678.4219435418108,414.4660184784422,,
Hau Giang,2011,2011-01-01,689619.0922130025,1678.4219435418108,410.8734963019885,,
Hau Giang,2012,2012-01-01,684314.5783243094,1678.4219435418108,407.71307891760927,,
Hau Giang,2013,2013-01-01,677306.8035752415,1678.4219435418108,403.5378625627277,,
Hau Giang,2014,2014-01-01,672036.1631385009,1678.4219435418108,400.397626904453,,
Hau Giang,2015,2015-01-01,665639.7638315825,1678.4219435418108,396.5866666560302,,
Hau Giang,2016,2016-01-01,659227.1485666262,1678.4219435418108,392.7660449764636,,
Hau Giang,2017,2017-01-01,653695.0923106428,1678.4219435418108,389.4700583639973,,
Hau Giang,2018,2018-01-01,648192.458584402,1678.4219435418108,386.191601628244,,
Hau Giang,2019,2019-01-01,642872.1855728813,1678.4219435418108,383.0217949941065,,
Hau Giang,2020,2020-01-01,637849.865968359,1678.4219435418108,380.0295083263547,,
Hau Giang,2021,,,,,914.7362082075942,54.499776514915865
Kien Giang,2000,2000-01-01,1216751.66019298,6294.25596863703,193.3114360546824,,
Kien Giang,2001,2001-01-01,1234502.5000171536,6294.25596863703,196.13160096577312,,
Kien Giang,2002,2002-01-01,1253954.9601604831,6294.25596863703,199.2221108275037,,
Kien Giang,2003,2003-01-01,1269651.0542298057,6294.25596863703,201.71582797970296,,
Kien Giang,2004,2004-01-01,1285067.6814461225,6294.25596863703,204.16514483194644,,
Kien Giang,2005,2005-01-01,1301268.069169339,6294.25596863703,206.73898164505664,,
Kien Giang,2006,2006-01-01,1317015.366129648,6294.25596863703,209.2408336572364,,
Kien Giang,2007,2007-01-01,1334003.382738169,6294.25596863703,211.93980501988332,,
Kien Giang,2008,2008-01-01,1347077.9923844251,6294.25596863703,214.0170337998065,,
Kien Giang,2009,2009-01-01,1360901.0891087926,6294.25596863703,216.21317847413263,,
Kien Giang,2010,2010-01-01,1377390.7947137803,6294.25596863703,218.8329806695236,,
Kien Giang,2011,2011-01-01,1392116.2663862775,6294.25596863703,221.17249017563057,,
Kien Giang,2012,2012-01-01,1410509.3673507946,6294.25596863703,224.09469433386087,,
Kien Giang,2013,2013-01-01,1428987.8070532742,6294.25596863703,227.03045668521008,,
Kien Giang,2014,2014-01-01,1442712.898783619,6294.25596863703,229.21103081481877,,
Kien Giang,2015,2015-01-01,1464673.1818868902,6294.25596863703,232.69997108237297,,
Kien Giang,2016,2016-01-01,1481203.186984626,6294.25596863703,235.32617586020555,,
Kien Giang,2017,2017-01-01,1499272.598374606,6294.25596863703,238.1969538330138,,
Kien Giang,2018,2018-01-01,1517459.716602238,6294.25596863703,241.08643248120583,,
Kien Giang,2019,2019-01-01,1534896.2612536747,6294.25596863703,243.8566637425844,,
Kien Giang,2020,2020-01-01,1554040.3021830316,6294.25596863703,246.8981734976289,,
Kien Giang,2021,,,,,3560.912752674688,56.57400605278807
Long An,2000,2000-01-01,1132522.6057572172,4493.542342739985,252.0333668574378,,
Long An,2001,2001-01-01,1143495.129400616,4493.542342739985,254.47520957449305,,
Long An,2002,2002-01-01,1154400.303512035,4493.542342739985,256.90206422048027,,
Long An,2003,2003-01-01,1165715.4564107726,4493.542342739985,259.4201561924006,,
Long An,2004,2004-01-01,1176837.418430291,4493.542342739985,261.8952551613661,,
Long An,2005,2005-01-01,1188450.4579414718,4493.542342739985,264.4796392898351,,
Long An,2006,2006-01-01,1199569.951961813,4493.542342739985,266.95418902637124,,
Long An,2007,2007-01-01,1211954.1955082838,4493.542342739985,269.71019811716786,,
Long An,2008,2008-01-01,1223723.9919295125,4493.542342739985,272.32946717563004,,
Long An,2009,2009-01-01,1235183.9454858508,4493.542342739985,274.879783314267,,
Long An,2010,2010-01-01,1247605.2387763248,4493.542342739985,277.6440375135276,,
Long An,2011,2011-01-01,1259081.5083456957,4493.542342739985,280.1979846434378,,
Long An,2012,2012-01-01,1271262.5024295717,4493.542342739985,282.90876227827107,,
Long An,2013,2013-01-01,1283291.133299057,4493.542342739985,285.58563276307234,,
Long An,2014,2014-01-01,1295459.3195489985,4493.542342739985,288.2935601223418,,
Long An,2015,2015-01-01,1307828.518613489,4493.542342739985,291.046221190391,,
Long An,2016,2016-01-01,1320242.4393813256,4493.542342739985,293.8088346968361,,
Long An,2017,2017-01-01,1332515.482764537,4493.542342739985,296.5400971279201,,
Long An,2018,2018-01-01,1345197.208458323,4493.542342739985,299.362308364958,,
Long An,2019,2019-01-01,1357939.2833257827,4493.542342739985,302.1979498022856,,
Long An,2020,2020-01-01,1370853.5276624055,4493.542342739985,305.0719061048201,,
Long An,2021,,,,,2800.454401812332,62.3217539351087
Soc Trang,2000,2000-01-01,1016162.2527393552,3348.8468758966987,303.4364634743905,,
Soc Trang,2001,2001-01-01,1025930.3796241988,3348.8468758966987,306.3533262772704,,
Soc Trang,2002,2002-01-01,1035771.2099123152,3348.8468758966987,309.29189906151606,,
Soc Trang,2003,2003-01-01,1046450.5545391968,3348.8468758966987,312.4808608213821,,
Soc Trang,2004,2004-01-01,1056115.7358872476,3348.8468758966987,315.36698303187075,,
Soc Trang,2005,2005-01-01,1066160.5807010138,3348.8468758966987,318.3664766444524,,
Soc Trang,2006,2006-01-01,1077330.2395645613,3348.8468758966987,321.7018512606945,,
Soc Trang,2007,2007-01-01,1087615.1541588856,3348.8468758966987,324.77303217026366,,
Soc Trang,2008,2008-01-01,1098602.6502672285,3348.8468758966987,328.0540111207869,,
Soc Trang,2009,2009-01-01,1109250.379776132,3348.8468758966987,331.2335322823966,,
Soc Trang,2010,2010-01-01,1120277.7988940014,3348.8468758966987,334.5264326527417,,
Soc Trang,2011,2011-01-01,1131275.2985963256,3348.8468758966987,337.81039877895626,,
Soc Trang,2012,2012-01-01,1142560.1486540928,3348.8468758966987,341.180170666405,,
Soc Trang,2013,2013-01-01,1153438.487490937,3348.8468758966987,344.4285541368888,,
Soc Trang,2014,2014-01-01,1164855.3296319286,3348.8468758966987,347.8377402131959,,
Soc Trang,2015,2015-01-01,1176947.897813964,3348.8468758966987,351.4487050109809,,
Soc Trang,2016,2016-01-01,1188615.7716634928,3348.8468758966987,354.93285172832066,,
Soc Trang,2017,2017-01-01,1200119.8017095353,3348.8468758966987,358.36807300667846,,
Soc Trang,2018,2018-01-01,1211884.5967754,3348.8468758966987,361.8811613925768,,
Soc Trang,2019,2019-01-01,1223666.50186433,3348.8468758966987,365.3993590067258,,
Soc Trang,2020,2020-01-01,1235720.345242177,3348.8468758966987,368.9987601810835,,
Soc Trang,2021,,,,,1842.1580845202889,55.00872846051004
Tien Giang,2000,2000-01-01,1384804.0222632145,2393.1845244412143,578.6449010180496,,
Tien Giang,2001,2001-01-01,1389882.5229067018,2393.1845244412143,580.7669691626583,,
Tien Giang,2002,2002-01-01,1395863.3606549732,2393.1845244412143,583.2660818249666,,
Tien Giang,2003,2003-01-01,1401412.5839020044,2393.1845244412143,585.5848429528103,,
Tien Giang,2004,2004-01-01,1407449.908775467,2393.1845244412143,588.1075589455824,,
Tien Giang,2005,2005-01-01,1413125.0806768565,2393.1845244412143,590.4789481315937,,
Tien Giang,2006,2006-01-01,1419414.537724282,2393.1845244412143,593.1070183799145,,
Tien Giang,2007,2007-01-01,1424793.8584039807,2393.1845244412143,595.3547851629437,,
Tien Giang,2008,2008-01-01,1430554.064897767,2393.1845244412143,597.7617063321884,,
Tien Giang,2009,2009-01-01,1436771.830988645,2393.1845244412143,600.3598202792648,,
Tien Giang,2010,2010-01-01,1442794.509161513,2393.1845244412143,602.8764161001717,,
Tien Giang,2011,2011-01-01,1449105.681238738,2393.1845244412143,605.5135600448905,,
Tien Giang,2012,2012-01-01,1454875.146989354,2393.1845244412143,607.9243502249595,,
Tien Giang,2013,2013-01-01,1461021.8572435095,2393.1845244412143,610.4927732576928,,
Tien Giang,2014,2014-01-01,1466679.4852318396,2393.1845244412143,612.8568316621115,,
Tien Giang,2015,2015-01-01,1473209.7888005336,2393.1845244412143,615.5855404190005,,
Tien Giang,2016,2016-01-01,1479548.898826182,2393.1845244412143,618.2343583270674,,
Tien Giang,2017,2017-01-01,1485549.8946544968,2393.1845244412143,620.7418941092135,,
Tien Giang,2018,2018-01-01,1492307.887569697,2393.1845244412143,623.5657436060584,,
Tien Giang,2019,2019-01-01,1498705.7499827533,2393.1845244412143,626.2391113918334,,
Tien Giang,2020,2020-01-01,1505069.7749457425,2393.1845244412143,628.8983400881559,,
Tien Giang,2021,,,,,750.6498645125815,31.366150701975272
Tra Vinh,2000,2000-01-01,833798.8119434455,2254.4401122278623,369.8473991041068,,
Tra Vinh,2001,2001-01-01,836821.5854237956,2254.4401122278623,371.1882080543889,,
Tra Vinh,2002,2002-01-01,840299.4985342616,2254.4401122278623,372.73090288651247,,
Tra Vinh,2003,2003-01-01,843502.4860243432,2254.4401122278623,374.15164920517,,
Tra Vinh,2004,2004-01-01,846317.0118389323,2254.4401122278623,375.4000859231486,,
Tra Vinh,2005,2005-01-01,849801.8716702875,2254.4401122278623,376.9458621060925,,
Tra Vinh,2006,2006-01-01,852772.4303497672,2254.4401122278623,378.2635101834877,,
Tra Vinh,2007,2007-01-01,855908.5653589632,2254.4401122278623,379.6546028065234,,
Tra Vinh,2008,2008-01-01,859120.0953990491,2254.4401122278623,381.07913833650576,,
Tra Vinh,2009,2009-01-01,861694.6149476734,2254.4401122278623,382.2211156880709,,
Tra Vinh,2010,2010-01-01,865159.9804958743,2254.4401122278623,383.7582448091353,,
Tra Vinh,2011,2011-01-01,868490.594278777,2254.4401122278623,385.2356022092444,,
Tra Vinh,2012,2012-01-01,871710.062102991,2254.4401122278623,386.6636586950884,,
Tra Vinh,2013,2013-01-01,874895.6315609532,2254.4401122278623,388.07667891269546,,
Tra Vinh,2014,2014-01-01,878084.3340102613,2254.4401122278623,389.4910888284936,,
Tra Vinh,2015,2015-01-01,881543.9416400242,2254.4401122278623,391.02566391478587,,
Tra Vinh,2016,2016-01-01,884698.7414492456,2254.4401122278623,392.42503566660577,,
Tra Vinh,2017,2017-01-01,887927.7801605966,2254.4401122278623,393.857337502364,,
Tra Vinh,2018,2018-01-01,891423.3195892612,2254.4401122278623,395.40785082480943,,
Tra Vinh,2019,2019-01-01,894679.4247832906,2254.4401122278623,396.85215851627066,,
Tra Vinh,2020,2020-01-01,898086.1148242187,2254.4401122278623,398.3632609946424,,
Tra Vinh,2021,,,,,902.0102188851304,40.01038723507072
Vinh Long,2000,2000-01-01,872770.278750726,1534.6515536941374,568.7090836026175,,
Vinh Long,2001,2001-01-01,874415.6813681505,1534.6515536941374,569.7812505146854,,
Vinh Long,2002,2002-01-01,875564.5677164585,1534.6515536941374,570.5298806161195,,
Vinh Long,2003,2003-01-01,876734.6209148004,1534.6515536941374,571.2923033273372,,
Vinh Long,2004,2004-01-01,877914.0060932954,1534.6515536941374,572.06080688481,,
Vinh Long,2005,2005-01-01,878842.9007694616,1534.6515536941374,572.6660873955097,,
Vinh Long,2006,2006-01-01,880185.4968867382,1534.6515536941374,573.5409414391164,,
Vinh Long,2007,2007-01-01,881482.3059709793,1534.6515536941374,574.3859600240319,,
Vinh Long,2008,2008-01-01,882764.9606430822,1534.6515536941374,575.2217553998717,,
Vinh Long,2009,2009-01-01,883810.5065103808,1534.6515536941374,575.9030474265743,,
Vinh Long,2010,2010-01-01,885181.6696489675,1534.6515536941374,576.7965161330609,,
Vinh Long,2011,2011-01-01,886251.5949981705,1534.6515536941374,577.4936941645349,,
Vinh Long,2012,2012-01-01,887641.1195868152,1534.6515536941374,578.399127443705,,
Vinh Long,2013,2013-01-01,888794.0076438987,1534.6515536941374,579.1503651134602,,
Vinh Long,2014,2014-01-01,890001.3599375756,1534.6515536941374,579.9370924267521,,
Vinh Long,2015,2015-01-01,891123.8246299557,1534.6515536941374,580.6685058148128,,
Vinh Long,2016,2016-01-01,892210.6320117611,1534.6515536941374,581.3766844102661,,
Vinh Long,2017,2017-01-01,893673.7903810219,1534.6515536941374,582.3300984707665,,
Vinh Long,2018,2018-01-01,895133.9860464586,1534.6515536941374,583.2815819928219,,
Vinh Long,2019,2019-01-01,896667.7236831556,1534.6515536941374,584.2809864719724,,
Vinh Long,2020,2020-01-01,897708.7467884498,1534.6515536941374,584.9593314049235,,
Vinh Long,2021,,,,,616.0112377736151,40.14013710739635
